ip_address,endpoint,response_size,status_code,timestamp
10.0.0.1,/home,100,200,2026-01-01 00:00:00
10.0.0.1,/login,200,200,2026-01-01 00:01:00
10.0.0.2,/home,150,200,2026-01-01 00:02:00
10.0.0.2,/api,200,404,2026-01-01 00:03:00
10.0.0.3,/home,100,200,2026-01-01 00:04:00
10.0.0.3,/home,100,500,2026-01-01 00:05:00
10.0.0.4,/admin,9000,500,2026-01-01 00:06:00
10.0.0.4,/admin,9500,503,2026-01-01 00:07:00
10.0.0.5,/api,120,200,2026-01-01 00:08:00
10.0.0.5,/api,130,200,2026-01-01 00:09:00
10.0.0.6,/health,110,200,2026-01-01 00:10:00
10.0.0.6,/health,120,200,2026-01-01 00:11:00
